case_id,title,url,date,language
7362,Case document,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2019/20191023_NA_na-1.pdf,27/11/2019,en
7361,Case document,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2019/20190710_2019-EWHC-1738-Admin_judgment-1.pdf,27/11/2019,en
7350,Case document,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2018/20181031_NA_complaint.pdf,16/11/2019,en
7349,Case document,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2018/20181206_2018-ECWA-Crim-2739_opinion.pdf,27-oct-19,en
7348,Case document,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2016/20160224_Not-available_na-1.pdf,27-oct-19,en
7347,Case document,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2019/20191015_Not-available_na.pdf,27-oct-19,en
7346,Case document,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2018/20180104_R-42-2017_judgment.pdf,27-oct-19,en
7345,Case document,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2018/20181108_R-77-2018_petition.pdf,"27-oct-19,Case document",en
7342,Case document,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2019/20190916_Not-available-_judgment-1.pdf,"30-sep-19,Case document",en
7341,Case document,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2019/20190923_Not-available_petition.pdf,"30-sep-19,Case document",en
7340,Case document,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2015/20151216_I.C.J.-Reports-2011-2018_judgment.pdf,"19-sep-19,Case document",en
7339,Case document,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2019/20190830_W.P.-No.-1920692018_judgment-1.pdf,19-sep-19,en
7338,Case document,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2019/20190306_2019-EWHC-519-Admin_judgment.pdf,19-sep-19,en
7337,Case document,"http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2018/20180309_C-68217_application-1.pdf,Case document",http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2019/20190620_C-68217_judgment-1.pdf,en
7336,Case document,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2019/20190214_No.-8960-of-2019_application.pdf,"3-7-19,Case document",en
7335,Case document,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2019/20190503_2019-SKCA-40_judgment.pdf,3-7-19,en
7334,Case document,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2011/20110325_Court-No.-VLC-S-S-111913_complaint-1.pdf,"3-7-19,Case document",en
7333,Case document,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2011/20111222_2011-NSWCA-424-2010-NSWLEC-34-Australia_decision.pdf,3-7-19,en
7332,Case document,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2019/20190626_Tribunal-Appeal-No.-Net-196-of-2016_decision.pdf,3-7-19,en
7331,Case document,http://curia.europa.eu/juris/fiche.jsf?id=C%3B580%3B14%3BRP%3B1%3BP%3B1%3BC2014%2F0580%2FO&oqp=&for=&mat=or&lgrec=en&jge=&td=%3BALL&jur=C%2CT%2CF&num=C-580%252F14&dates=&pcs=Oor&lg=&pro=&nat=or&cit=none%252CC%252CCJ%252CR%252C2008E%252C%252C%252C%252C%252C%252C%252C%252C%252C%252Ctrue%252Cfalse%252Cfalse&language=en&avg=&cid=216704,"30/11/2018,",en
7330,Case document,http://curia.europa.eu/juris/document/document.jsf?text=&docid=183125&pageIndex=0&doclang=en&mode=lst&dir=&occ=first&part=1&cid=668786,3/12/18,en
7329,Case document,https://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1544612541801&uri=CELEX:62015CJ0158,"12-12-2018,",en
7328,Case document,http://curia.europa.eu/juris/liste.jsf?language=en&td=ALL&num=C-460/15,"12-12-18,",en
7327,Case document,http://curia.europa.eu/juris/document/document.jsf?text=&docid=188666&pageIndex=0&doclang=EN&mode=lst&dir=&occ=first&part=1&cid=1945642,12-14-18,en
7326,Case document,http://curia.europa.eu/juris/document/document.jsf?text=climate&docid=200968&pageIndex=0&doclang=EN&mode=req&dir=&occ=first&part=1&cid=10351367#ctx1,5/2/2019,en
7355,Case document,http://curia.europa.eu/juris/document/document.jsf?text=climate&docid=198528&pageIndex=0&doclang=EN&mode=req&dir=&occ=first&part=1&cid=10351367#ctx1,5/2/2019,en
7352,Case document,http://curia.europa.eu/juris/document/document.jsf?text=climate&docid=199770&pageIndex=0&doclang=EN&mode=req&dir=&occ=first&part=1&cid=10369188#ctx1,5/2/2019,en
7344,Case document,http://curia.europa.eu/juris/document/document.jsf?text=climate&docid=203224&pageIndex=0&doclang=EN&mode=req&dir=&occ=first&part=1&cid=10369188#ctx1,5/2/19,en
7325,Case document,http://curia.europa.eu/juris/document/document.jsf?text=climate&docid=199567&pageIndex=0&doclang=EN&mode=req&dir=&occ=first&part=1&cid=10369188#ctx1,5/219,en
7324,Case document,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2019/20190405_8918_summons.pdf,24/4/2019,en
7323,Case document,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2019/20190513_Not-Available_press-release-1.pdf,17-jun-2019,en
7322,Case document,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2018/20180920_Not-Available_na.pdf,"26-6-2019,Case document",en
7321,Case document,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2019/20190123_Not-Yet-Available_press-release-1.pdf,"24/4/2019,Case document",en
